LAST SEEN   TYPE      REASON                         OBJECT                                 MESSAGE
19m         Normal    Scheduled                      pod/crashloop-demo-579dd5cddb-kntxt    Successfully assigned dev/crashloop-demo-579dd5cddb-kntxt to cka-wk34-worker
51m         Normal    Scheduled                      pod/resource-demo-556bfdd876-9m9bg     Successfully assigned dev/resource-demo-556bfdd876-9m9bg to cka-wk34-worker
28m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-dlt76        Successfully assigned dev/php-apache-6f9b6b7987-dlt76 to cka-wk34-worker
28m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-fcrcs        Successfully assigned dev/php-apache-6f9b6b7987-fcrcs to cka-wk34-worker
28m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-6vj8c        Successfully assigned dev/php-apache-6f9b6b7987-6vj8c to cka-wk34-worker
39m         Normal    Scheduled                      pod/taint-test-yes                     Successfully assigned dev/taint-test-yes to cka-wk34-worker
40m         Warning   FailedScheduling               pod/taint-test-no                      0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
36m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-vtgg6        Successfully assigned dev/php-apache-6f9b6b7987-vtgg6 to cka-wk34-worker
3m2s        Normal    Scheduled                      pod/imagepull-demo                     Successfully assigned dev/imagepull-demo to cka-wk34-worker
16m         Normal    Scheduled                      pod/imagepull-demo                     Successfully assigned dev/imagepull-demo to cka-wk34-worker
28m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-w9vl5        Successfully assigned dev/php-apache-6f9b6b7987-w9vl5 to cka-wk34-worker
29m         Normal    Scheduled                      pod/load-generator                     Successfully assigned dev/load-generator to cka-wk34-worker
49m         Normal    Scheduled                      pod/oom-demo                           Successfully assigned dev/oom-demo to cka-wk34-worker
5m38s       Normal    Scheduled                      pod/imagepull-demo                     Successfully assigned dev/imagepull-demo to cka-wk34-worker
26m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-rj8m4        Successfully assigned dev/php-apache-6f9b6b7987-rj8m4 to cka-wk34-worker
13m         Normal    Scheduled                      pod/imagepull-demo                     Successfully assigned dev/imagepull-demo to cka-wk34-worker
50m         Normal    Scheduled                      pod/resource-demo-784b6d5cc-gg64k      Successfully assigned dev/resource-demo-784b6d5cc-gg64k to cka-wk34-worker
26m         Normal    Scheduled                      pod/php-apache-6f9b6b7987-c76xx        Successfully assigned dev/php-apache-6f9b6b7987-c76xx to cka-wk34-worker
51m         Normal    SuccessfulCreate               replicaset/resource-demo-556bfdd876    Created pod: resource-demo-556bfdd876-9m9bg
51m         Normal    ScalingReplicaSet              deployment/resource-demo               Scaled up replica set resource-demo-556bfdd876 from 0 to 1
51m         Normal    Pulling                        pod/resource-demo-556bfdd876-9m9bg     Pulling image "busybox:1.36"
51m         Normal    Pulled                         pod/resource-demo-556bfdd876-9m9bg     Successfully pulled image "busybox:1.36" in 9.489s (9.489s including waiting). Image size: 2217150 bytes.
51m         Normal    Created                        pod/resource-demo-556bfdd876-9m9bg     Created container: cpu-burn
51m         Normal    Started                        pod/resource-demo-556bfdd876-9m9bg     Started container cpu-burn
50m         Normal    ScalingReplicaSet              deployment/resource-demo               Scaled up replica set resource-demo-784b6d5cc from 0 to 1
50m         Normal    SuccessfulCreate               replicaset/resource-demo-784b6d5cc     Created pod: resource-demo-784b6d5cc-gg64k
50m         Normal    Pulled                         pod/resource-demo-784b6d5cc-gg64k      Container image "busybox:1.36" already present on machine
50m         Normal    Created                        pod/resource-demo-784b6d5cc-gg64k      Created container: cpu-burn
50m         Normal    Started                        pod/resource-demo-784b6d5cc-gg64k      Started container cpu-burn
50m         Normal    ScalingReplicaSet              deployment/resource-demo               Scaled down replica set resource-demo-556bfdd876 from 1 to 0
50m         Normal    SuccessfulDelete               replicaset/resource-demo-556bfdd876    Deleted pod: resource-demo-556bfdd876-9m9bg
50m         Normal    Killing                        pod/resource-demo-556bfdd876-9m9bg     Stopping container cpu-burn
49m         Normal    Pulling                        pod/oom-demo                           Pulling image "python:3.12-alpine"
48m         Normal    Pulled                         pod/oom-demo                           Successfully pulled image "python:3.12-alpine" in 29.468s (29.468s including waiting). Image size: 18083985 bytes.
44m         Normal    Pulled                         pod/oom-demo                           Container image "python:3.12-alpine" already present on machine
44m         Normal    Created                        pod/oom-demo                           Created container: oom
44m         Normal    Started                        pod/oom-demo                           Started container oom
43m         Warning   BackOff                        pod/oom-demo                           Back-off restarting failed container oom in pod oom-demo_dev(14a2d436-fc69-4053-8d10-590db4afb6cc)
39m         Normal    Created                        pod/taint-test-yes                     Created container: pause
39m         Normal    Pulled                         pod/taint-test-yes                     Container image "registry.k8s.io/pause:3.10" already present on machine
39m         Normal    Started                        pod/taint-test-yes                     Started container pause
38m         Normal    Killing                        pod/taint-test-yes                     Stopping container pause
36m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled up replica set php-apache-6f9b6b7987 from 0 to 1
36m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-vtgg6
36m         Normal    Pulling                        pod/php-apache-6f9b6b7987-vtgg6        Pulling image "registry.k8s.io/hpa-example"
35m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/php-apache     invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
35m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/php-apache     failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
31m         Normal    Pulled                         pod/php-apache-6f9b6b7987-vtgg6        Successfully pulled image "registry.k8s.io/hpa-example" in 5m30.716s (5m30.716s including waiting). Image size: 164030864 bytes.
31m         Normal    Created                        pod/php-apache-6f9b6b7987-vtgg6        Created container: php-apache
31m         Normal    Started                        pod/php-apache-6f9b6b7987-vtgg6        Started container php-apache
